model,condition,turn,agent,API_ERR,DECRYPT,DONE,OTHER,READ,SUBMIT,WRITE
gpt-4o-mini,switch,22,A1,0,9,0,0,0,1,0
gpt-4o-mini,switch,22,A2,0,4,1,0,1,0,4
gpt-4o-mini,switch,23,A1,0,3,0,0,1,0,5
gpt-4o-mini,switch,23,A2,0,2,0,0,3,0,4
gpt-4o-mini,switch,24,A1,0,4,0,0,2,1,2
gpt-4o-mini,switch,24,A2,0,5,0,0,1,1,2
gpt-4o-mini,switch,25,A1,0,2,0,0,2,1,2
gpt-4o-mini,switch,25,A2,0,5,0,0,0,0,2
gpt-4o-mini,switch,26,A1,0,1,0,0,1,1,3
gpt-4o-mini,switch,26,A2,0,2,0,0,0,0,4
gpt-4o-mini,switch,27,A1,0,2,0,0,3,0,0
gpt-4o-mini,switch,27,A2,0,5,0,0,0,0,0
gpt-4o-mini,switch,28,A1,0,1,0,0,1,0,3
gpt-4o-mini,switch,28,A2,0,3,0,0,0,0,2
gpt-4o-mini,switch,29,A1,0,0,0,0,3,0,2
gpt-4o-mini,switch,29,A2,0,4,0,0,0,0,1
gpt-4o-mini,switch,30,A1,0,1,0,0,1,1,2
gpt-4o-mini,switch,30,A2,0,3,0,0,0,0,2
llama-3.3-70b,base,1,A1,0,20,0,0,0,0,0
llama-3.3-70b,base,1,A2,0,20,0,0,0,0,0
llama-3.3-70b,base,2,A1,0,0,0,0,0,0,20
llama-3.3-70b,base,2,A2,0,0,0,0,0,0,20
llama-3.3-70b,base,3,A1,0,0,0,0,19,0,1
llama-3.3-70b,base,3,A2,0,0,0,0,20,0,0
llama-3.3-70b,base,4,A1,0,0,0,0,1,0,19
llama-3.3-70b,base,4,A2,0,0,0,0,0,0,20
llama-3.3-70b,base,5,A1,0,0,0,0,19,0,1
llama-3.3-70b,base,5,A2,0,0,0,0,20,0,0
llama-3.3-70b,base,6,A1,1,0,0,0,1,0,18
llama-3.3-70b,base,6,A2,0,0,0,0,0,0,20
llama-3.3-70b,base,7,A1,0,0,0,0,19,0,1
llama-3.3-70b,base,7,A2,1,0,0,0,19,0,0
llama-3.3-70b,base,8,A1,0,0,0,0,1,0,19
llama-3.3-70b,base,8,A2,1,1,0,0,0,0,18
llama-3.3-70b,base,9,A1,1,0,0,0,18,0,1
llama-3.3-70b,base,9,A2,1,1,0,0,17,0,1
llama-3.3-70b,base,10,A1,0,1,0,0,1,0,18
llama-3.3-70b,base,10,A2,0,1,0,0,2,0,17
llama-3.3-70b,base,11,A1,0,0,0,0,18,0,2
llama-3.3-70b,base,11,A2,0,0,0,0,17,0,3
llama-3.3-70b,base,12,A1,0,1,0,0,2,0,17
llama-3.3-70b,base,12,A2,0,0,0,0,3,0,17
llama-3.3-70b,base,13,A1,0,0,0,0,17,0,3
llama-3.3-70b,base,13,A2,0,1,0,0,17,0,2
llama-3.3-70b,base,14,A1,0,0,0,0,4,0,16
llama-3.3-70b,base,14,A2,3,3,0,0,2,0,12
llama-3.3-70b,base,15,A1,0,0,0,0,16,0,4
llama-3.3-70b,base,15,A2,1,1,0,0,13,0,5
llama-3.3-70b,base,16,A1,0,0,0,0,4,0,16
llama-3.3-70b,base,16,A2,0,0,0,0,6,0,14
llama-3.3-70b,base,17,A1,0,0,0,0,15,0,5
llama-3.3-70b,base,17,A2,1,1,0,0,13,0,5
llama-3.3-70b,base,18,A1,0,0,0,0,7,0,13
llama-3.3-70b,base,18,A2,0,2,0,0,5,0,13
llama-3.3-70b,base,19,A1,1,0,0,0,13,0,6
llama-3.3-70b,base,19,A2,1,0,0,0,11,0,8
llama-3.3-70b,base,20,A1,3,1,0,0,4,0,12
llama-3.3-70b,base,20,A2,0,2,0,0,8,0,10
llama-3.3-70b,base,21,A1,0,2,0,0,13,0,5
llama-3.3-70b,base,21,A2,0,1,0,0,10,0,9
llama-3.3-70b,base,22,A1,0,0,0,0,6,0,14
llama-3.3-70b,base,22,A2,1,3,0,0,9,0,7
llama-3.3-70b,base,23,A1,1,0,0,0,14,0,5
llama-3.3-70b,base,23,A2,0,1,0,0,8,0,11
llama-3.3-70b,base,24,A1,0,2,0,0,5,0,13
llama-3.3-70b,base,24,A2,0,2,0,0,12,0,6
llama-3.3-70b,base,25,A1,1,0,0,0,12,0,7
llama-3.3-70b,base,25,A2,1,4,0,0,7,0,8
llama-3.3-70b,base,26,A1,1,1,0,0,8,0,10
llama-3.3-70b,base,26,A2,1,4,0,0,9,0,6
llama-3.3-70b,base,27,A1,0,1,0,0,11,0,8
llama-3.3-70b,base,27,A2,0,2,0,0,7,0,11
llama-3.3-70b,base,28,A1,0,0,0,0,10,0,10
llama-3.3-70b,base,28,A2,2,1,0,0,11,0,6
llama-3.3-70b,base,29,A1,1,0,0,0,10,0,9
llama-3.3-70b,base,29,A2,0,2,0,0,6,0,12
llama-3.3-70b,base,30,A1,1,0,0,0,5,8,6
llama-3.3-70b,base,30,A2,1,0,0,0,9,7,3
llama-3.3-70b,placebo,1,A1,1,17,0,1,0,0,1
llama-3.3-70b,placebo,1,A2,0,20,0,0,0,0,0
llama-3.3-70b,placebo,2,A1,2,1,0,0,1,0,16
llama-3.3-70b,placebo,2,A2,0,0,0,0,0,0,20
llama-3.3-70b,placebo,3,A1,1,4,0,0,14,0,1
llama-3.3-70b,placebo,3,A2,1,0,0,0,19,0,0
llama-3.3-70b,placebo,4,A1,0,0,0,0,1,0,19
llama-3.3-70b,placebo,4,A2,1,0,0,0,1,0,18
llama-3.3-70b,placebo,5,A1,0,0,0,0,19,0,1
llama-3.3-70b,placebo,5,A2,0,0,0,0,18,0,2
llama-3.3-70b,placebo,6,A1,0,0,0,0,1,0,19
llama-3.3-70b,placebo,6,A2,1,1,0,0,2,0,16
llama-3.3-70b,placebo,7,A1,1,0,0,0,18,0,1
llama-3.3-70b,placebo,7,A2,1,0,0,0,16,0,3
llama-3.3-70b,placebo,8,A1,1,0,0,0,2,0,17
llama-3.3-70b,placebo,8,A2,2,0,0,0,4,0,14
llama-3.3-70b,placebo,9,A1,0,0,0,0,18,0,2
llama-3.3-70b,placebo,9,A2,1,1,0,0,14,0,4
llama-3.3-70b,placebo,10,A1,1,0,0,0,2,0,17
llama-3.3-70b,placebo,10,A2,0,1,0,0,4,0,15
llama-3.3-70b,placebo,11,A1,1,1,0,0,15,0,3
llama-3.3-70b,placebo,11,A2,1,1,0,0,13,0,5
llama-3.3-70b,placebo,12,A1,3,0,0,0,2,0,15
llama-3.3-70b,placebo,12,A2,0,1,0,0,5,0,14
llama-3.3-70b,placebo,13,A1,1,3,0,0,14,0,2
llama-3.3-70b,placebo,13,A2,1,0,0,0,12,2,5
llama-3.3-70b,placebo,14,A1,0,1,0,0,2,0,17
llama-3.3-70b,placebo,14,A2,1,1,2,0,5,0,11
llama-3.3-70b,placebo,15,A1,0,0,0,0,17,0,3
llama-3.3-70b,placebo,15,A2,0,1,2,0,9,1,7
llama-3.3-70b,placebo,16,A1,1,0,0,0,3,0,16
llama-3.3-70b,placebo,16,A2,2,0,3,0,6,1,8
llama-3.3-70b,placebo,17,A1,1,1,0,0,14,0,4
llama-3.3-70b,placebo,17,A2,0,2,4,0,8,0,6
llama-3.3-70b,placebo,18,A1,2,2,0,0,2,0,14
llama-3.3-70b,placebo,18,A2,2,0,4,0,5,1,8
llama-3.3-70b,placebo,19,A1,1,0,0,0,14,0,5
llama-3.3-70b,placebo,19,A2,0,0,5,0,10,0,5
llama-3.3-70b,placebo,20,A1,2,0,0,0,5,0,13
llama-3.3-70b,placebo,20,A2,0,0,5,0,5,0,10
llama-3.3-70b,placebo,21,A1,2,0,0,0,11,0,7
llama-3.3-70b,placebo,21,A2,0,0,5,0,10,0,5
llama-3.3-70b,placebo,22,A1,0,3,0,0,4,0,13
llama-3.3-70b,placebo,22,A2,0,0,5,0,5,1,9
llama-3.3-70b,placebo,23,A1,1,0,0,0,12,1,6
llama-3.3-70b,placebo,23,A2,0,0,6,0,9,0,5
llama-3.3-70b,placebo,24,A1,0,1,1,0,6,1,11
llama-3.3-70b,placebo,24,A2,0,0,6,0,4,3,7
llama-3.3-70b,placebo,25,A1,1,0,2,0,11,0,6
llama-3.3-70b,placebo,25,A2,1,0,9,0,5,1,4
llama-3.3-70b,placebo,26,A1,0,1,1,0,5,1,11
llama-3.3-70b,placebo,26,A2,0,1,9,0,4,1,4
llama-3.3-70b,placebo,27,A1,0,0,2,0,11,3,3
llama-3.3-70b,placebo,27,A2,0,0,10,0,4,1,4
llama-3.3-70b,placebo,28,A1,0,0,2,0,3,0,11
llama-3.3-70b,placebo,28,A2,1,0,8,0,3,1,3
llama-3.3-70b,placebo,29,A1,0,0,1,0,10,2,2
llama-3.3-70b,placebo,29,A2,0,1,8,0,3,1,2
llama-3.3-70b,placebo,30,A1,1,0,2,0,0,11,0
llama-3.3-70b,placebo,30,A2,1,0,8,0,0,5,0
llama-3.3-70b,switch,1,A1,0,20,0,0,0,0,0
llama-3.3-70b,switch,1,A2,0,20,0,0,0,0,0
llama-3.3-70b,switch,2,A1,1,0,0,0,0,0,19
llama-3.3-70b,switch,2,A2,1,0,0,0,0,0,19
llama-3.3-70b,switch,3,A1,0,0,0,0,20,0,0
llama-3.3-70b,switch,3,A2,0,1,0,0,19,0,0
llama-3.3-70b,switch,4,A1,0,0,0,0,0,0,20
llama-3.3-70b,switch,4,A2,0,0,0,0,0,0,20
llama-3.3-70b,switch,5,A1,3,0,0,0,17,0,0
llama-3.3-70b,switch,5,A2,0,0,0,0,20,0,0
llama-3.3-70b,switch,6,A1,0,2,0,0,1,0,17
llama-3.3-70b,switch,6,A2,0,0,0,0,0,0,20
llama-3.3-70b,switch,7,A1,1,0,0,0,16,0,3
llama-3.3-70b,switch,7,A2,0,0,0,0,19,0,1
llama-3.3-70b,switch,8,A1,0,1,0,0,3,0,16
llama-3.3-70b,switch,8,A2,0,0,0,0,1,0,19
llama-3.3-70b,switch,9,A1,0,0,0,0,16,0,4
llama-3.3-70b,switch,9,A2,0,0,0,0,19,0,1
llama-3.3-70b,switch,10,A1,1,0,0,0,4,0,15
llama-3.3-70b,switch,10,A2,2,0,0,0,1,0,17
llama-3.3-70b,switch,11,A1,1,0,0,0,16,0,3
llama-3.3-70b,switch,11,A2,0,0,0,0,17,1,2
llama-3.3-70b,switch,12,A1,0,2,0,0,4,0,14
llama-3.3-70b,switch,12,A2,2,0,1,0,2,0,15
llama-3.3-70b,switch,13,A1,1,0,0,0,13,0,6
llama-3.3-70b,switch,13,A2,0,1,1,0,15,0,3
llama-3.3-70b,switch,14,A1,0,2,0,0,7,2,9
llama-3.3-70b,switch,14,A2,0,0,1,0,2,1,16
llama-3.3-70b,switch,15,A1,1,0,1,0,9,0,8
llama-3.3-70b,switch,15,A2,3,1,1,0,8,2,4
llama-3.3-70b,switch,16,A1,0,1,1,0,7,1,9
llama-3.3-70b,switch,16,A2,0,2,3,0,3,2,9
llama-3.3-70b,switch,17,A1,2,0,2,0,9,1,5
llama-3.3-70b,switch,17,A2,1,1,5,0,7,0,5
llama-3.3-70b,switch,18,A1,1,1,3,0,7,0,7
llama-3.3-70b,switch,18,A2,0,2,5,0,5,2,5
llama-3.3-70b,switch,19,A1,1,0,3,0,7,2,6
llama-3.3-70b,switch,19,A2,0,0,7,0,5,0,7
llama-3.3-70b,switch,20,A1,0,1,4,0,6,1,6
llama-3.3-70b,switch,20,A2,1,0,6,0,7,0,4
llama-3.3-70b,switch,21,A1,0,0,2,0,5,0,7
llama-3.3-70b,switch,21,A2,0,1,4,0,3,3,3
llama-3.3-70b,switch,22,A1,2,0,1,0,5,0,4
llama-3.3-70b,switch,22,A2,1,0,5,0,1,2,3
llama-3.3-70b,switch,23,A1,0,2,0,0,4,2,3
llama-3.3-70b,switch,23,A2,1,0,6,0,3,0,1
llama-3.3-70b,switch,24,A1,0,0,0,0,4,0,5
llama-3.3-70b,switch,24,A2,1,1,4,0,1,1,1
llama-3.3-70b,switch,25,A1,0,0,0,0,6,1,1
llama-3.3-70b,switch,25,A2,1,1,4,0,1,0,1
llama-3.3-70b,switch,26,A1,0,0,0,0,1,1,5
llama-3.3-70b,switch,26,A2,0,1,3,0,1,0,2
llama-3.3-70b,switch,27,A1,0,0,0,0,3,2,1
llama-3.3-70b,switch,27,A2,0,0,2,0,2,0,2
llama-3.3-70b,switch,28,A1,0,0,0,0,1,0,3
llama-3.3-70b,switch,28,A2,0,0,0,0,1,1,2
llama-3.3-70b,switch,29,A1,0,0,0,0,1,1,1
llama-3.3-70b,switch,29,A2,0,0,0,0,1,1,1
llama-3.3-70b,switch,30,A1,0,0,0,0,0,1,1
llama-3.3-70b,switch,30,A2,0,0,0,0,0,2,0
qwen3-235b,base,1,A1,0,17,0,0,3,0,0
qwen3-235b,base,1,A2,0,20,0,0,0,0,0
qwen3-235b,base,2,A1,0,3,0,0,0,0,17
qwen3-235b,base,2,A2,0,3,0,0,0,0,17
qwen3-235b,base,3,A1,0,0,0,0,16,0,4
qwen3-235b,base,3,A2,0,0,0,0,17,0,3
qwen3-235b,base,4,A1,0,0,0,0,10,1,9
qwen3-235b,base,4,A2,0,2,0,0,9,0,9
qwen3-235b,base,5,A1,0,1,1,0,12,0,6
qwen3-235b,base,5,A2,0,1,0,0,15,0,4
qwen3-235b,base,6,A1,0,0,1,1,17,0,1
qwen3-235b,base,6,A2,0,1,0,0,12,0,7
qwen3-235b,base,7,A1,0,0,1,0,14,0,5
qwen3-235b,base,7,A2,0,0,0,0,17,0,3
qwen3-235b,base,8,A1,0,2,1,0,16,0,1
qwen3-235b,base,8,A2,0,0,0,0,15,0,5
qwen3-235b,base,9,A1,0,0,1,0,19,0,0
qwen3-235b,base,9,A2,0,1,0,0,12,0,7
qwen3-235b,base,10,A1,0,1,1,0,17,0,1
qwen3-235b,base,10,A2,0,0,0,0,19,0,1
qwen3-235b,base,11,A1,0,1,1,0,17,0,1
qwen3-235b,base,11,A2,0,2,0,0,15,0,3
qwen3-235b,base,12,A1,0,0,1,0,19,0,0
qwen3-235b,base,12,A2,0,1,0,0,17,0,2
qwen3-235b,base,13,A1,0,0,1,0,17,0,2
qwen3-235b,base,13,A2,0,1,0,0,17,0,2
qwen3-235b,base,14,A1,0,1,1,0,18,0,0
qwen3-235b,base,14,A2,0,2,0,0,16,0,2
qwen3-235b,base,15,A1,0,1,1,0,15,0,3
qwen3-235b,base,15,A2,0,0,0,0,20,0,0
qwen3-235b,base,16,A1,0,0,1,0,19,0,0
qwen3-235b,base,16,A2,0,1,0,0,17,0,2
qwen3-235b,base,17,A1,0,0,1,0,18,0,1
qwen3-235b,base,17,A2,0,1,0,0,15,1,3
qwen3-235b,base,18,A1,0,0,1,0,19,0,0
qwen3-235b,base,18,A2,0,2,1,0,17,0,0
qwen3-235b,base,19,A1,0,1,1,0,18,0,0
qwen3-235b,base,19,A2,0,1,1,0,15,0,3
qwen3-235b,base,20,A1,0,1,1,0,16,0,2
qwen3-235b,base,20,A2,0,0,1,0,17,1,1
qwen3-235b,base,21,A1,0,1,1,0,16,0,2
qwen3-235b,base,21,A2,0,0,2,0,18,0,0
qwen3-235b,base,22,A1,0,1,1,0,15,0,3
qwen3-235b,base,22,A2,0,1,2,0,16,1,0
qwen3-235b,base,23,A1,0,0,1,0,19,0,0
qwen3-235b,base,23,A2,0,0,3,0,16,0,1
qwen3-235b,base,24,A1,0,1,1,0,15,1,2
qwen3-235b,base,24,A2,0,2,3,0,15,0,0
qwen3-235b,base,25,A1,0,0,2,0,18,0,0
qwen3-235b,base,25,A2,0,1,3,0,16,0,0
qwen3-235b,base,26,A1,0,1,2,0,16,0,1
qwen3-235b,base,26,A2,0,0,3,0,16,0,1
qwen3-235b,base,27,A1,0,0,2,0,18,0,0
qwen3-235b,base,27,A2,0,2,3,0,13,0,2
qwen3-235b,base,28,A1,0,2,2,0,14,0,2
qwen3-235b,base,28,A2,0,2,3,0,12,1,2
qwen3-235b,base,29,A1,0,1,2,0,17,0,0
qwen3-235b,base,29,A2,0,0,4,0,16,0,0
qwen3-235b,base,30,A1,0,1,2,0,17,0,0
qwen3-235b,base,30,A2,0,0,4,0,15,0,1
qwen3-235b,placebo,1,A1,0,19,0,0,1,0,0
qwen3-235b,placebo,1,A2,0,20,0,0,0,0,0
qwen3-235b,placebo,2,A1,1,1,0,0,0,0,18
qwen3-235b,placebo,2,A2,0,3,0,0,0,0,17
qwen3-235b,placebo,3,A1,0,0,0,1,16,0,3
qwen3-235b,placebo,3,A2,0,0,0,0,17,0,3
qwen3-235b,placebo,4,A1,0,3,0,0,9,0,8
qwen3-235b,placebo,4,A2,0,0,0,0,12,0,8
qwen3-235b,placebo,5,A1,0,0,0,0,11,0,9
qwen3-235b,placebo,5,A2,0,3,0,0,12,0,5
qwen3-235b,placebo,6,A1,0,0,0,0,17,0,3
qwen3-235b,placebo,6,A2,0,0,0,0,16,0,4
qwen3-235b,placebo,7,A1,0,0,0,0,17,0,3
qwen3-235b,placebo,7,A2,1,0,0,0,17,0,2
qwen3-235b,placebo,8,A1,0,0,0,0,17,0,3
qwen3-235b,placebo,8,A2,0,2,0,0,15,0,3
qwen3-235b,placebo,9,A1,0,0,0,0,8,4,8
qwen3-235b,placebo,9,A2,0,3,0,0,12,2,3
qwen3-235b,placebo,10,A1,0,0,4,0,11,4,1
qwen3-235b,placebo,10,A2,0,0,2,0,12,3,3
